Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / India,Price / India,Compare At Price / India,Status
0399_swim_goggles,"Swimming Goggles with Ear & Nose Plugs, Adjustable, Anti-Fog & Waterproof","<strong>0399 Swimming Goggles With Ear And Nose Plug Adjustable Clear Vision Anti-Fog Waterproof<br></strong><span data-mce-fragment=""1""><br><strong>Description :- </strong><br></span>
<ul class=""a-unordered-list a-vertical a-spacing-mini"">
<li><span class=""a-list-item"">Leak-proof swim goggles: the swimming goggles have a cushioned double seal design around your eyes, so you don't have to worry about water leaking in, you can go ahead and enjoy swimming more<br><br></span></li>
<li><span class=""a-list-item"">Easy to adjust: the quick adjust straps can be easily adjusted by kids or parents, just press the clasp and pull the strap to fit; The elastic head strap can stretch strongly without breaking and is able to fit most kids' head sizes; Children can stand on their own feet and adjust the strap by themselves<br><br></span></li>
<li><span class=""a-list-item"">Flexible swimming glasses: soft and elastic silicone, adjustable and easy to wear or release quickly, flexible silicone frame with nose piece provides more comfort on the face<br><br></span></li>
<li><span class=""a-list-item"">Quality material: made from odorless and anti-sensitive silicone, the goggles are latex and PVC-free, which is especially recommended for your children; Give your children these goggles that can stay steadily during each and every water-based activity</span></li>
</ul>
<p><span data-mce-fragment=""1""><br><br><strong>Dimension :- </strong></span></p>
<p><span data-mce-fragment=""1"">         Volu. Weight (Gm) :- 234<br><br>        Product Weight (Gm) :- 48<br><br>        Ship Weight (Gm) :- 234<br><br>        Length (Cm) :- 14<br><br>        Breadth (Cm) :- 20<br><br>       Height (Cm) :- 4<strong><br></strong></span></p>",Shoppinest,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Swimming > Swim Goggles & Masks,"Sports, Fitness & Outdoors","China, Sports, Sports Fitness Bags Luggage, swimming goggles",TRUE,Title,Default Title,,,,,,,,0399_swim_goggles,234,shopify,deny,manual,66,299,TRUE,TRUE,0399_swim_goggles,https://cdn.shopify.com/s/files/1/0782/3284/6646/products/02_41272156-14fc-4918-b226-1cd77257d90c.jpg?v=1737634423,1,Swimming goggles with ear and nose plugs,FALSE,0399 Swimming Goggles  With Ear And Nose Plug Adjustable,0399 Swimming Goggles  With Ear And Nose Plug Adjustable Clear Vision Anti-Fog Waterproof Description :-  Leak-proof swim goggles: - DeoDap,3360,,,,,,,,,,,,g,,,TRUE,,,active
0399_swim_goggles,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0782/3284/6646/products/01_1d457699-53c3-448e-ada3-38390bdcb102.jpg?v=1737634423,2,Clear vision goggles with adjustable straps,,,,,,,,,,,,,,,,,,,,,,
0399_swim_goggles,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0782/3284/6646/products/06_bb831d32-039f-4b8d-a8a9-5055bdc10810.jpg?v=1737634423,3,Anti-fog swimming goggles with nose plug,,,,,,,,,,,,,,,,,,,,,,
0399_swim_goggles,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0782/3284/6646/products/05_b32a4a36-c754-4f29-b5cd-8699604cb56c.jpg?v=1737634423,4,Swimming goggles with adjustable nose piece,,,,,,,,,,,,,,,,,,,,,,
0399_swim_goggles,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0782/3284/6646/products/03_fe28ac6a-da20-4d61-86b8-e2c939e0a29f.jpg?v=1737634423,5,Close-up of goggles with ear and nose protection,,,,,,,,,,,,,,,,,,,,,,
0399_swim_goggles,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0782/3284/6646/products/04_a46e3dd3-23fe-4620-ba51-50fd99963240.jpg?v=1737634423,6,Goggles with anti-fog feature and ear plugs,,,,,,,,,,,,,,,,,,,,,,
0399_swim_goggles,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0782/3284/6646/products/09_32387219-eacf-48a6-8ff7-052d10469b21.jpg?v=1737634423,7,Goggles with adjustable strap and nose plug,,,,,,,,,,,,,,,,,,,,,,
0399_swim_goggles,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0782/3284/6646/products/07_03fb177e-ab9c-4955-aa22-86bd013dc6f4.jpg?v=1737634424,8,Blue swimming goggles with ear protection,,,,,,,,,,,,,,,,,,,,,,
0399_swim_goggles,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0782/3284/6646/products/08_b3a80c49-6195-4194-8ef8-e7d4bfc6dc9d.jpg?v=1737634424,9,Adjustable swimming goggles for clear vision,,,,,,,,,,,,,,,,,,,,,,
0399_swim_goggles,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0782/3284/6646/products/10_d74402f5-d0a0-4a65-a4c0-1b8954253e08.jpg?v=1737634424,10,Swim goggles with ear and nose protection,,,,,,,,,,,,,,,,,,,,,,
